Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53
Other,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52
Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77
Other,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
Other,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8
Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92
Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32
Other,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67
DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21
Other,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7
X360,2010,Misc,Other,15,4.89,0.24,1.69,21.81
Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79
PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04
PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
Other,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15
DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25
Other,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
Other,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27
PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29
DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14
